FID,hrrnum,hrrcity,HRR_lbl,SHAPE_Length,SHAPE_Area
1,1,AL- BIRMINGHAM,Birmingham,34.941196484935,5.30402545745
2,2,AL- DOTHAN,Dothan,9.08028368351995,1.59628442035001
3,5,AL- HUNTSVILLE,Huntsville,12.3100757568364,0.945776470600004
4,6,AL- MOBILE,Mobile,13.5199585941428,2.04655456710001
5,7,AL- MONTGOMERY,Montgomery,8.90140386698566,1.53110106115
6,9,AL- TUSCALOOSA,Tuscaloosa,9.22744998590922,1.18919856475
7,11,AZ- MESA,Mesa,5.00332200213471,0.596798551799997
8,12,AZ- PHOENIX,Phoenix,47.1552122022336,17.3404170101
9,14,AZ- SUN CITY,Sun City,4.75947249721199,0.8089719322
10,15,AZ- TUCSON,Tucson,16.4519310961485,5.1718113733
11,16,AR- FORT SMITH,Fort Smith,9.90397461617479,2.04094487815
12,18,AR- JONESBORO,Jonesboro,7.93043729355727,1.15940863389999
13,19,AR- LITTLE ROCK,Little Rock,20.5041169973983,7.53491734644999
14,21,AR- SPRINGDALE,Springdale,8.5968756588916,1.46212501252149
15,22,AR- TEXARKANA,Texarkana,10.5266111617701,1.78038311900393
16,23,CA- ORANGE CO.,Orange Co.,4.42609863610462,0.291504760200001
17,25,CA- BAKERSFIELD,Bakersfield,13.6067317668702,1.91790803604999
18,31,CA- CHICO,Chico,14.3269427281081,1.14713044115
19,33,CA- CONTRA COSTA CO.,Contra Costa Co.,5.52992445781861,0.295871810150002
20,43,CA- FRESNO,Fresno,10.9713765391498,2.12205772735001
21,56,CA- LOS ANGELES,Los Angeles,9.93607334313569,1.50713962090001
22,58,CA- MODESTO,Modesto,9.45187550316793,1.67087145285
23,62,CA- NAPA,Napa,13.5681704562552,1.46885247285
24,65,CA- ALAMEDA CO.,Alameda Co.,3.89755544911355,0.212081967949996
25,69,CA- PALM SPR/RANCHO MIR.,Palm Spr/rancho Mir.,8.36435254770026,1.08559713700001
26,73,CA- REDDING,Redding,29.2199123842916,2.43101461115002
27,77,CA- SACRAMENTO,Sacramento,16.1650766822561,2.33192374200002
28,78,CA- SALINAS,Salinas,6.41885774164653,0.757578734499992
29,79,CA- SAN BERNARDINO,San Bernardino,16.0083559092413,3.62345362765
30,80,CA- SAN DIEGO,San Diego,15.8831243313728,2.63309059614998
31,81,CA- SAN FRANCISCO,San Francisco,6.24304240347099,0.154847617300004
32,82,CA- SAN JOSE,San Jose,6.67460987760043,0.697797514500007
33,83,CA- SAN LUIS OBISPO,San Luis Obispo,9.80930717659031,0.614820554350002
34,85,CA- SAN MATEO CO.,San Mateo Co.,3.35980768078743,0.125415348100002
35,86,CA- SANTA BARBARA,Santa Barbara,6.28759155861979,0.271829725800007
36,87,CA- SANTA CRUZ,Santa Cruz,2.51371893013388,0.119200116150001
37,89,CA- SANTA ROSA,Santa Rosa,5.6082717768855,0.558981058450005
38,91,CA- STOCKTON,Stockton,6.31103920749417,0.476024889649989
39,96,CA- VENTURA,Ventura,3.97135905077344,0.242152721950002
40,101,CO- BOULDER,Boulder,3.01967826225545,0.231075715749999
41,102,CO- COLORADO SPRINGS,Colorado Springs,29.4663801263344,8.09910353540002
42,103,CO- DENVER,Denver,49.9067179495278,12.87179463485
43,104,CO- FORT COLLINS,Fort Collins,16.11786377137,3.72641761860001
44,105,CO- GRAND JUNCTION,Grand Junction,18.5273384699947,6.03812248855005
45,106,CO- GREELEY,Greeley,11.0447008519316,3.75615577485002
46,107,CO- PUEBLO,Pueblo,8.78150325896894,1.79025365714999
47,109,CT- BRIDGEPORT,Bridgeport,2.97716356450795,0.0992138470499988
48,110,CT- HARTFORD,Hartford,7.48281946685768,0.930182063299996
49,111,CT- NEW HAVEN,New Haven,8.51930836794674,0.491530389100006
50,112,DE- WILMINGTON,Wilmington,7.05018031840638,0.364149480400002
51,113,DC- WASHINGTON,Washington,26.4079673563933,1.20869026544998
52,115,FL- BRADENTON,Bradenton,4.21399005021288,0.169427934749991
53,116,FL- CLEARWATER,Clearwater,2.43010822813728,0.0417042140000018
54,118,FL- FORT LAUDERDALE,Fort Lauderdale,6.94465932854199,0.533336222700006
55,119,FL- FORT MYERS,Fort Myers,11.9467697024936,1.23129435559998
56,120,FL- GAINESVILLE,Gainesville,11.7847276660384,1.54876820114952
57,122,FL- HUDSON,Hudson,2.91972732919734,0.159341344049997
58,123,FL- JACKSONVILLE,Jacksonville,22.1865297249724,2.2265139995
59,124,FL- LAKELAND,Lakeland,3.96437644500429,0.298353084000001
60,127,FL- MIAMI,Miami,6.76841793240468,0.187983029550005
61,129,FL- OCALA,Ocala,14.803797610039,0.622907781749996
62,130,FL- ORLANDO,Orlando,21.2077387929148,2.43478562450003
63,131,FL- ORMOND BEACH,Ormond Beach,3.32117651840922,0.261244965250005
64,133,FL- PANAMA CITY,Panama City,9.65798200172461,0.624779798750006
65,134,FL- PENSACOLA,Pensacola,17.2780032151448,1.45054581715
66,137,FL- SARASOTA,Sarasota,9.85742425361943,0.28615395465
67,139,FL- ST PETERSBURG,St Petersburg,3.36092591716385,0.0279404097999962
68,140,FL- TALLAHASSEE,Tallahassee,15.6719499504114,2.87817762824999
69,141,FL- TAMPA,Tampa,5.17564318775716,0.336643523600007
70,142,GA- ALBANY,Albany,5.51467573648578,0.844130641549999
71,144,GA- ATLANTA,Atlanta,19.0599284669867,4.1226789289
72,145,GA- AUGUSTA,Augusta,18.2605599852222,1.88089196825
73,146,GA- COLUMBUS,Columbus,5.99969337498103,0.847238790649994
74,147,GA- MACON,Macon,11.3900100517974,2.2837828539
75,148,GA- ROME,Rome,6.64296331080052,0.648904100099994
76,149,GA- SAVANNAH,Savannah,26.0822468831398,2.0852761421
77,151,ID- BOISE,Boise,31.2543033006667,14.38545731345
78,152,ID- IDAHO FALLS,Idaho Falls,13.3799715481173,3.63785702134998
79,154,IL- AURORA,Aurora,2.29806131456351,0.137413884150011
